Date,Open,High,Low,Close,Adj Close,Volume
2014-06-01,17.987499,19.245001,17.715000,19.010000,17.881081,106778400
2014-07-01,19.150000,19.940001,18.150000,18.155001,17.076853,120519600
2014-08-01,18.007500,20.372499,17.445000,20.332500,19.125040,98993600
2014-09-01,20.427500,20.897499,19.129999,19.410000,18.257328,111267600
2014-10-01,19.325001,20.639999,15.150000,20.594999,19.371950,247267200
2014-11-01,20.674999,22.507500,20.100000,22.305000,20.980406,100355200
2014-12-01,22.040001,23.075001,19.340000,21.930000,20.627672,122802800
2015-01-01,22.217501,22.382500,19.687500,19.897499,18.715874,157029600
2015-02-01,20.090000,23.877501,19.415001,23.342501,21.956293,83696800
2015-03-01,23.382500,23.799999,21.272499,22.110001,20.796984,107935200
2015-04-01,22.084999,24.030001,21.487499,22.690001,21.342541,83857600
2015-05-01,23.007500,24.387501,22.097500,23.465000,22.071516,71687600
2015-06-01,23.742500,24.227501,21.785000,21.992500,20.686462,105335200
2015-07-01,22.587500,24.282499,21.395000,23.332500,21.946882,110422000
2015-08-01,23.320000,23.600000,16.000000,18.922501,17.798773,171006400
2015-09-01,17.632500,20.264999,16.049999,17.267500,16.242060,199988400
2015-10-01,17.375000,22.392500,16.575001,21.905001,20.604158,152130800
2015-11-01,22.027500,23.105000,20.100000,22.040001,20.731142,117384800
2015-12-01,22.262501,22.777500,19.295000,20.719999,19.489531,169059600
2016-01-01,19.662500,20.090000,14.295000,17.472500,16.434885,295631600
2016-02-01,17.155001,18.129999,14.215000,17.222500,16.199730,250434000
2016-03-01,17.667500,21.305000,17.520000,20.897499,19.656485,153524400
2016-04-01,20.504999,22.512501,20.129999,21.059999,19.809336,111561600
2016-05-01,21.262501,22.309999,19.907499,22.049999,20.740543,109548400
2016-06-01,21.807501,22.875000,18.832500,21.990000,20.684111,148204000
2016-07-01,21.985001,24.582500,21.254999,24.452499,23.000372,88457200
2016-08-01,24.480000,25.227501,23.577499,24.452499,23.000372,76672400
2016-09-01,24.452499,25.067499,22.709999,24.295000,22.852226,115069200
2016-10-01,24.105000,24.379999,22.555000,22.920000,21.558882,101061200
2016-11-01,23.047501,25.947500,21.610001,25.412500,23.903362,101763200
2016-12-01,25.555000,28.252501,25.020000,26.937500,25.337801,71138000
2017-01-01,27.467501,29.112499,27.049999,28.287500,26.607632,60211200
2017-02-01,28.552500,31.972500,28.007500,31.645000,29.765741,50914000
2017-03-01,32.415001,33.189999,30.000000,31.587500,29.711655,78217600
2017-04-01,31.650000,33.025002,30.297501,32.439999,30.513527,53270400
2017-05-01,32.630001,33.939999,31.260000,33.650002,31.651672,30868700
2017-06-01,33.860001,35.450001,33.369999,34.130001,32.103168,36747500
2017-07-01,34.599998,36.680000,33.500000,36.130001,33.984394,23780100
2017-08-01,36.450001,37.040001,33.860001,36.200001,34.050240,39543000
2017-09-01,36.400002,38.299999,35.070000,38.230000,35.959686,24831500
2017-10-01,38.389999,41.240002,38.349998,40.869999,38.442909,30828000
2017-11-01,41.320000,45.040001,40.080002,44.480000,41.838524,31286000
2017-12-01,44.430000,45.650002,42.410000,44.330002,41.697430,42272700
2018-01-01,44.730000,54.490002,44.500000,51.840000,50.676815,57577300
2018-02-01,51.290001,52.459999,36.820000,45.230000,44.215130,162848500
2018-03-01,45.279999,49.720001,38.860001,41.290001,40.363537,144806300
2018-04-01,40.849998,44.639999,37.119999,41.220001,40.295109,134968000
2018-05-01,40.990002,45.740002,38.700001,43.900002,42.914974,93238000
2018-06-01,44.720001,48.160000,43.110001,44.540001,43.540615,66112500
2018-07-01,43.580002,50.910000,43.450001,49.189999,48.100536,59045000
2018-08-01,49.310001,54.610001,48.070000,53.750000,52.559536,59548200
2018-09-01,53.509998,55.950001,51.730000,54.320000,53.116913,37818800
2018-10-01,55.160000,55.750000,38.070000,43.009998,42.145195,140931600
2018-11-01,43.459999,48.070000,39.070000,44.860001,43.958000,93729300
2018-12-01,47.049999,47.110001,27.270000,32.900002,32.238483,182468600
2019-01-01,31.320000,41.009998,30.340000,40.799999,40.245121,150259600
2019-02-01,40.869999,45.910000,39.750000,44.580002,43.973717,90940200
2019-03-01,45.450001,48.169998,41.560001,46.759998,46.124065,127024800
2019-04-01,47.790001,52.560001,47.639999,52.299999,51.588726,71613600
2019-05-01,52.709999,52.810001,42.430000,42.520000,41.941730,126524800
2019-06-01,42.450001,52.950001,41.419998,51.349998,50.651646,75784700
2019-07-01,53.189999,55.869999,51.950001,53.189999,52.764153,61621700
2019-08-01,53.320000,55.060001,45.000000,49.639999,49.242577,122056500
2019-09-01,48.660000,54.779999,47.990002,52.310001,51.891205,64976300
2019-10-01,52.770000,55.950001,46.119999,55.240002,54.797749,99165400
2019-11-01,56.130001,61.900002,56.020000,61.220001,60.729866,51347500
2019-12-01,61.380001,67.309998,57.049999,66.080002,65.550957,61118300
2020-01-01,67.099998,72.820000,64.860001,65.500000,65.235001,83280800
2020-02-01,66.419998,76.330002,44.610001,50.259998,50.056656,118798400
2020-03-01,51.099998,59.110001,16.510000,26.049999,25.944607,755371500
2020-04-01,23.150000,37.450001,21.910000,35.750000,35.605362,689770900
2020-05-01,33.860001,41.630001,30.580000,40.529999,40.366020,374211900
2020-06-01,40.320000,48.570000,36.930000,41.810001,41.640846,385577100
2020-07-01,42.200001,49.639999,42.000000,49.209999,49.063465,260385400
2020-08-01,50.040001,61.080002,49.750000,60.000000,59.821335,147260800
2020-09-01,60.509998,64.959999,45.930000,52.660000,52.503193,205482300
2020-10-01,53.950001,61.860001,46.380001,48.139999,47.996647,174937400
2020-11-01,49.799999,66.349998,48.470001,65.089996,64.896172,158712800
2020-12-01,66.980003,72.669998,65.639999,72.250000,72.034859,116501100
2021-01-01,73.050003,79.019997,66.970001,69.529999,69.438667,124278900
2021-02-01,71.550003,83.739998,70.260002,75.010002,74.911476,112678800
2021-03-01,78.040001,85.989998,69.769997,84.949997,84.838417,175828100
2021-04-01,86.230003,101.120003,86.070000,98.720001,98.590332,120780600
2021-05-01,100.169998,102.540001,89.760002,100.050003,99.918587,141225900
2021-06-01,101.820000,107.050003,97.029999,106.580002,106.440002,108316300
2021-07-01,107.129997,116.550003,101.669998,113.879997,113.776421,120756500
2021-08-01,115.370003,125.290001,111.839996,124.080002,123.967148,112707400
2021-09-01,124.870003,126.089996,106.709999,106.980003,106.882706,161039900
2021-10-01,108.199997,130.559998,104.620003,130.229996,130.111557,135984000
2021-11-01,131.190002,142.600006,126.260002,126.769997,126.654701,132543100
2021-12-01,131.559998,147.139999,120.760002,143.410004,143.279572,194662900
2022-01-01,144.679993,147.979996,98.559998,120.750000,120.750000,221999000
2022-02-01,121.349998,127.339996,90.540001,108.779999,108.779999,198445700
2022-03-01,107.879997,112.029999,93.010002,96.169998,96.169998,102844700
